country,population,total_cases,total_deaths,incidence,mortality,cfr,recovery_rate,vaccination_rate
Afghanistan,40578847.0,235214.0,7998.0,0.06407279142258526,0.3918297629304253,3.536818467378664,96.32783812190806,23.981013432934652
Africa,1446883821.0,13063807.0,258288.0,0.026297895828085286,0.10512246926285868,1.9881306338579638,97.73612184093926,19.770331621814027
Albania,2827614.0,337234.0,3608.0,0.21219303624893637,0.7426756268712773,1.0789823480168148,98.53198440768857,26.882055743446514
Algeria,45477391.0,272435.0,6881.0,0.006596684493180358,0.10774584672194584,2.533094785822621,97.09058100383372,11.294665365554463
American Samoa,48365.0,8359.0,34.0,0.0,10.338054378166028,0.40674721856681423,99.63924694217773,
Andorra,79722.0,48015.0,159.0,0.0,7.526153383005946,0.3317337784268725,99.09946651743202,49.51098936729664
Angola,35635028.0,107487.0,1937.0,0.0,0.07296191825638526,1.8340106668182379,97.91057263340467,13.764395341630204
Anguilla,14202.0,3904.0,12.0,0.0,7.041261794113504,0.3073770491803279,99.77449474192647,63.62168514390882
Antigua and Barbuda,92850.0,9106.0,146.0,0.0,12.924071082390952,1.6033384581594552,97.69162441052154,41.772778018571785
Argentina,45407904.0,10118953.0,130839.0,0.0,2.0392925425494206,1.2988986098838873,98.04464611437103,58.38011434211004
Armenia,2880880.0,454894.0,8785.0,0.0,2.4298131126600206,1.9420719564543967,98.09711890841687,16.35664652781671
Aruba,107792.0,44224.0,292.0,0.0,40.819355796348525,0.66027496382055,99.19892451036173,69.87150802931511
Asia,4746329727.0,302173652.0,1637892.0,0.5144501415714644,1.1678708220517189,0.550517736423275,98.92919276833356,58.00791326832036
Asia excl. China,,202791891.0,1515494.0,,,0.7676790901058097,98.88560903058446,
Australia,26200987.0,11861161.0,25236.0,0.0,4.175415223861605,0.2127616343796362,99.15816533274597,44.827796305736236
Austria,9064678.0,6083769.0,22534.0,1.0921513152480429,1.5996155627370325,0.3707208838373378,98.97487157375578,58.08959720865472
Azerbaijan,10295307.0,836510.0,10353.0,0.16512377921318908,0.6993477707852713,1.2376495059802393,98.73835461441489,32.60359814485205
Bahamas,397542.0,39127.0,849.0,0.0,6.791735212883167,2.2029979476787984,97.29509566512615,24.116422690158295
Bahrain,1533460.0,696614.0,1536.0,0.0,1.8911481225463984,0.22049513790994724,99.71901429742282,67.4619906296502
Bangladesh,169384891.0,2052275.0,29531.0,0.015940028558981686,0.15585805702115427,1.4410994332106166,98.43080688446794,53.553247015296456
Barbados,282324.0,109141.0,593.0,0.0,15.230727816267835,0.5492552393284287,98.8141496344501,43.980742433583856
Belarus,9173240.0,994085.0,7118.0,0.0,1.526178318674754,0.7160699249625517,99.27362581240338,31.99719763292857
